id,title,release_date,overview,genres,keywords,cast,directors,writers,spoken_languages,streaming_platforms,rating,vote_count,popularity,runtime,poster_url
1336770,Vaazha II,2026-04-02,"Four friends – Hashir, Alan, Ajin and Vinayak – are considered losers and troublemakers by parents, family and the school management. They face immense social pressure as they reach adulthood, embarking them on an emotional journey of self discovery and acceptance, where they finally learn to take up their responsibilities and find success.","['Comedy', 'Drama']",[],"['Hashir', 'Alan Bin Siraj', 'Ajin Joy', 'Vinayak V', 'Alphonse Puthren']",['Savin Sa'],['Vipin Das'],['Malayalam'],[],7.143,7,29.8674,162,https://image.tmdb.org/t/p/w500/1yLZ7kExd0UGGbaZW4LxmYD4OIf.jpg
1469458,Sambhavam Adhyayam Onnu,2026-03-06,"Three Kerala Police officers venture into a mysterious forest on the Kerala-Tamil Nadu border to find a missing officer. They encounter strange time-related phenomena, uncovering the hidden secrets of Velloorkkatt forest.","['Fantasy', 'Thriller', 'Drama']","['time loop', 'trapped soul', 'haunted forest']","['Askar Ali', 'Vineeth Kumar', 'Sidharth Bharathan', 'Assim Jamal', 'Senthil Krishna Rajamani']",['Jithu Satheesan Mangalathu'],['Jithu Satheesan Mangalathu'],"['Malayalam', 'Tamil']",['JioHotstar'],5.8,5,9.0066,127,https://image.tmdb.org/t/p/w500/tBNSo4T0R8UztkkpjYkzXI4bFAT.jpg
1510767,Athiradi,2026-05-14,"Energetic student Samkutty revives a banned college festival, igniting a fierce rivalry that transforms celebration into chaos.","['Comedy', 'Drama']","['college', 'campus life', 'college campus']","['Basil Joseph', 'Tovino Thomas', 'Vineeth Sreenivasan', 'Riya Shibu', 'Darshana Rajendran']",['Arun Anirudhan'],"['Arun Anirudhan', 'Paulson Skaria']",['Malayalam'],[],6.4,4,6.1242,156,https://image.tmdb.org/t/p/w500/AgghZr1txyNREiK0WQi3bePW1ax.jpg
1290703,Oru Durooha Saahacharyathil,2026-04-15,Humble health care worker Sethu lives a quiet life caring for his sick brother — until a mysterious armed fugitive seeks refuge in his home.,"['Comedy', 'Thriller']",[],"['Kunchacko Boban', 'Dileesh Pothan', 'Sajin Gopu', 'Chidambaram', 'Jaffer Idukki']",['Ratheesh Balakrishnan Poduval'],['Ratheesh Balakrishnan Poduval'],['Malayalam'],['Netflix'],5.0,1,5.1058,135,https://image.tmdb.org/t/p/w500/m5QAeVHpqSedMEvIpbUle6aUn5q.jpg
1070170,Derby,2026-03-27,"A campus entertainer who follows a group of college students navigating friendship, rivalry, love, and ambition. What begins as carefree fun soon turns into intense competition as campus pride and personal egos come into play.","['Action', 'Comedy', 'Romance']",[],"['Adam Sabiq', 'Merlet Ann Thomas', 'Ameen', 'Johny Antony', 'Sagar Surya']",['Sajil Mampad'],['Zahuru Zuhara'],['Malayalam'],"['Amazon Prime Video', 'Amazon Prime Video with Ads']",1.0,1,5.6726,135,https://image.tmdb.org/t/p/w500/zaTTuhOJMTzlSRx7kvzVZevc2wQ.jpg
1189518,Vaazha,2024-08-15,"Four friends deemed 'losers' face immense pressure from parents and society upon entering adulthood. Their emotional tale sees them embark on a journey of self-discovery and acceptance, where love ultimately triumphs over judgment.","['Comedy', 'Drama']",[],"['Siju Sunny', 'Joemon Jyothir', 'Saaf', 'Amith Mohan Rajeswari', 'Ajin Joy']",['Anand Menen'],['Vipin Das'],['Malayalam'],['JioHotstar'],6.62,25,6.5341,125,https://image.tmdb.org/t/p/w500/6SFL0Z5x4FQTNYoDCp6SbbyydQm.jpg
1186350,Marco,2024-12-20,"The adoptive son of the Adattu family, Marco, sets off on a ruthless quest for vengeance after his brother is brutally murdered, finding only betrayal, loss and unimaginable brutality at every step.","['Action', 'Crime', 'Thriller']","['toxic', 'revenge killing', 'family man', 'shocking', 'aggressive', 'blind man', 'action hero', 'perfumer', 'loss of brother', 'amused', 'enraged']","['Unni Mukundan', 'Siddique', 'Ishan Shoukath', 'Jagadish', 'Abhimanyu Thilakan']",['Haneef Adeni'],['Haneef Adeni'],"['Malayalam', 'English']","['Amazon Prime Video', 'JioHotstar', 'Sony Liv', 'aha', 'VI movies and tv', 'Amazon Prime Video with Ads']",6.5,114,4.0687,145,https://image.tmdb.org/t/p/w500/il3ao5gcF6fZNqo1o9o7lusmEyU.jpg
847742,Drishyam 3,2026-05-21,"To protect his family and their dark secret, Georgekutty faces an organized new threat. As walls close in and cracks widen, how much more is he willing to sacrifice ?","['Crime', 'Thriller', 'Drama']",[],"['Mohanlal', 'Meena', 'Siddique', 'Asha Sarath', 'Murali Gopy']",['Jeethu Joseph'],"['Jeethu Joseph', 'Jeethu Joseph']",['Malayalam'],[],0.0,0,3.6802,157,https://image.tmdb.org/t/p/w500/456FlpiU1iOBnaOxSd783QhZKWw.jpg
1576369,Bharathanatyam 2 Mohiniyattam,2026-04-10,"The family's journey to Sreekandapuram to settle the late Bharathan Nair's second wife and son takes a dark turn when an issue from his past resurfaces, leading to an unexpected crime. Forced into a desperate cover-up to protect their future, the family must navigate a treacherous path of secrecy and mounting pressure, determined to overcome any obstacle by any means necessary.","['Comedy', 'Thriller']","['dark comedy', 'family secrets', 'dark humor']","['Saiju Kurup', 'Kalaranjini', 'Swathi Das Prabhu', 'Sruthy Suresh', 'Baby Jean']",['Krishnadas Murali'],"['Krishnadas Murali', 'Vishnu R Pradeep']",['Malayalam'],['Netflix'],7.875,4,4.3857,145,https://image.tmdb.org/t/p/w500/lsg0IxNQCUxKqs63YjturEuY0qQ.jpg
927547,All We Imagine as Light,2024-09-21,"In Mumbai, Nurse Prabha's routine is troubled when she receives an unexpected gift from her estranged husband. Her younger roommate, Anu, tries in vain to find a spot in the city to be intimate with her boyfriend. A trip to a beach town allows them to find a space for their desires to manifest.","['Drama', 'Romance']","['nurse', 'roommates', 'meditative']","['Kani Kusruti', 'Divya Prabha', 'Chhaya Kadam', 'Hridhu Haroon', 'Azees Nedumangad']",['Payal Kapadia'],['Payal Kapadia'],"['German', 'Marathi', 'Malayalam', 'Hindi', 'English']",['VI movies and tv'],6.836,229,2.3264,118,https://image.tmdb.org/t/p/w500/ruImrzB4POsrgwCMozmOBV67zs5.jpg
